2015.05.06,1.11857,-111.85700000000001,0.0,-1.0
2015.05.07,1.13442,592.1430054985285,0.0,-1.0
2015.05.08,1.1273799999999998,1349.142995470047,0.0,-1.0
2015.05.11,1.11981,1804.1430141710043,0.0,-1.0
2015.05.12,1.1152600000000001,1234.1430045597554,0.0,-1.0
2015.05.13,1.12096,-155.8569625086784,0.0,-1.0
2015.05.14,1.13486,-759.8569516159296,0.0,-1.0
2015.05.15,1.1409,-1150.8621848769187,0.0,-0.999954104423523
2015.05.18,1.14481,224.06940983045115,0.0,-1.0
2015.05.19,1.13106,1839.0672301123143,0.0,-0.9999811053276062
2015.05.20,1.11491,2403.05537414521,0.0,-0.9999918937683105
2015.05.21,1.10927,2222.9764399850073,0.0,-0.9992671608924866
2015.05.22,1.11107,3322.020553253681,0.0,-0.9979195594787598
2015.05.25,1.10007,3377.4122330402442,0.0,0.9024776220321655
2015.05.26,1.09742,2443.5795967055865,0.0,0.9579312801361084
2015.05.27,1.08714,2742.147356378765,0.0,0.8669943809509277
2015.05.28,1.09036,3107.6077213914105,0.0,0.9979892373085022
2015.05.29,1.09474,3229.1942061286277,0.0,-0.9999996423721313
2015.06.01,1.09815,3813.194003673107,0.0,-1.0
2015.06.02,1.0923100000000001,1543.1142059876033,0.0,-0.9718054533004761
2015.06.03,1.1149799999999999,157.2006526366779,0.0,0.999055027961731
2015.06.04,1.1269799999999999,-218.55054349246535,0.00794413216250618,1.0
2015.06.05,1.12322,-1857.1805950151972,-0.005373157299041442,-0.9998761415481567
2015.06.08,1.1090799999999998,-3852.9470837356143,-0.11753300632725372,-1.0
2015.06.09,1.12904,-3753.9470866003626,-0.2362559098136395,-1.0
2015.06.10,1.12805,-4204.947209317385,-0.2545251744710663,-0.9999988079071045
2015.06.11,1.13256,-3498.6400009961717,-0.2494009494041073,-0.9762300848960876
2015.06.12,1.12547,-3344.2185208533992,-0.15519692797968265,0.9998630285263062
2015.06.15,1.12161,-2914.3840857720365,-0.12033147330790803,-0.8374819159507751
2015.06.16,1.1279700000000001,-2829.3634565564385,-0.0817373783527856,0.9999833703041077
2015.06.17,1.12448,-1901.4102286287537,-0.14903843301674297,0.9997050166130066
2015.06.18,1.13376,-1583.5369530579437,-0.19229211134403346,0.9999953508377075
2015.06.19,1.13694,-1535.567361749432,-0.2067165725795397,0.9997298717498779
2015.06.22,1.13742,-1929.4916563847278,-0.194595253748236,1.0
2015.06.23,1.1334799999999998,-3699.491697421334,-0.2858570781865299,0.9999994039535522
2015.06.24,1.11578,-3265.492044828794,-0.36269406311534197,1.0
2015.06.25,1.12012,-3361.49204240363,-0.2913961380803054,1.0
2015.06.26,1.11916,-5242.492069464139,-0.3141400685634501,1.0
2015.06.29,1.10035,-2901.4920918796574,-0.40913230583019744,0.9999998807907104
2015.06.30,1.12376,-3916.492057443193,-0.2582736426379666,1.0
2015.07.01,1.11361,-4805.492074639133,-0.32788152757725814,1.0
2015.07.02,1.1047200000000001,-4464.492085800102,-0.28869689550279015,1.0
2015.07.03,1.1081299999999998,-5497.492081895998,-0.2144099234007799,1.0
2015.07.06,1.0978,-4751.492082551649,-0.24156128468331486,1.0
2015.07.07,1.1052600000000001,-5178.492074311307,-0.1360824860993933,1.0
2015.07.08,1.10099,-4519.492085502079,-0.06807376033030206,1.0
2015.07.09,1.10758,-4918.492096886566,-0.038802148011895216,1.0
2015.07.10,1.10359,-4320.492106900147,-0.0362061013268362,1.0
2015.07.13,1.1095700000000002,-5274.49210681074,-0.04187094598383707,1.0
2015.07.14,1.1000299999999998,-5203.492107512957,-0.09641392514993107,1.0
